index,distance
0,27.72011442274234
1,43.120235816406954
2,31.87604889024174
3,43.035349974884745
4,40.95542891600502
5,34.09707284799437
6,15.917954836209057
7,29.80327725568543
8,23.82215624565349
9,34.709955776868064
10,30.73692106455544
11,24.59675996709929
12,17.642531633956423
13,25.183923529590793
14,38.59157335515768
15,42.18892889956427
0,3.622631288136293
1,5.80360159182554
2,23.66909187721684
3,3.0191726673242396
4,10.467042081169764
5,26.234292944729255
6,13.420685330583371
7,12.878029186923609
0,4.955233677639383
1,1.691264431405536
2,20.83778838228492
3,8.081191577109378
4,14.076721228109049
5,6.549924502300395
6,4.173819827028482
7,14.213359424082718
8,5.105794133695885
9,4.679035606207299
10,0.7002520261600922
11,9.525977736123458
0,31.579799582707498
1,52.66970145351963
2,32.3881260117951
3,5.373242013643573
4,19.47083073645763
5,34.91606014126207
6,13.975437972283476
7,14.590607037096992
8,16.46155804417899
9,8.19090683840722
10,10.630958108296525
11,5.348040080993133
0,24.378852863750662
1,11.023733327135432
2,31.18062097904855
3,38.59150139598882
4,18.034477964474
5,24.915959818197212
6,39.731291284267925
7,38.33220026914402
8,4.227571376062983
9,6.844598442826593
10,14.041835003689524
11,5.4247489824670865
0,20.490426285689885
1,37.024199927716786
2,37.50084045374756
3,25.44541803251963
4,39.04755829935898
5,15.429074531619303
6,31.98008796234714
7,44.74187868394401
8,39.72512386537266
9,37.247731713437666
10,35.716174032597195
11,34.485622437995154
0,16.91309202958981
1,32.70227110101071
2,20.682025279829322
3,38.23744344654703
4,33.43747654310181
5,29.210678130186185
6,7.302520456154038
7,22.499557488700496
8,11.664591419329229
9,10.852431987823554
10,13.285803239334854
11,11.396657341374215
0,23.00135919596726
1,7.336791419262493
2,5.009144983397293
3,1.6955553320737176
4,2.9402777443071835
5,27.975194232660137
6,39.97473015830876
7,38.35744149957775
8,22.056179826517663
9,24.407754984097647
10,24.48210763644854
11,6.804622463922833
0,33.52280672033384
1,23.754637874682274
2,18.327400651053168
3,14.277102299300402
4,14.992453677763326
5,12.196773990587907
6,13.678616980287998
7,7.671817572038571
8,8.625612830336111
9,18.15706044865153
10,19.309257574976613
11,14.414083840777318
0,29.608906353039057
1,3.0883845436038273
2,7.4357128164838295
3,9.546301932690339
4,2.716212589185397
5,6.855594890451082
6,23.350036561908485
7,8.708560339609093
8,16.31151778552903
9,18.015790814466733
10,8.856840981907457
11,7.739991565814302
